Label,Sentence,Chunk ID,MP Index,Match Type
Climate change,"residential development pressure, business development pressure, changed agricultural use, recreation and tourism, comprehensive water management, infrastructure and traffic, nature and landscape, heritage and archaeology, climate changes/calamities and cumulation of (small-scale) interventions",282.0,0.0,fuzzy split (second half)
Legislation,"The heritage values, from the foundation of the Colonies up to the current functions, are protected by heritage policies.",285.0,0.0,exact
Legislation,"The majority of management measures is already included in the existing policies of municipalities, provinces, region and State, and is incorporated in the existing management",292.0,0.0,exact
Climate change,"strong winds, thunderstorms and hail can cause damage to the plantings and buildings",56.0,0.0,exact
Climate change,Another potential threat for particularly the greenery and the planting in the area is the increase of the average temperature and shifts in the character of the seasons,295.0,0.0,exact
Climate change,In the long term this could lead to changes in species and vegetation.,295.0,0.0,exact
Climate change,"the avenue planting and solitary beeches, which are part of the original planting",56.0,0.0,exact
Climate change,dehydration and waterlogging occur as a result of climate change,296.0,0.0,exact
Water management,because of the proper control of available water resources and the management of the water board.,296.0,0.0,exact
Water management,"The control of the water resources in the region is currently regulated by the water management infrastructure, the construction of which had already been started in the years of the Society of Benevolence",296.0,0.0,exact
Monitoring,the risks of climate change are adequately regulated,296.0,0.0,exact
Conservation,"The maintenance of roads, roadsides, avenues, waterways and parts of the landscape are included in the regular management and maintenance programmes of municipalities, water boards and management organisations such as the Forestry Commission, Flemish Land Agency, Kempens Landschap, the Foundation Society of Benevolence and the State of the Netherlands.",300.0,0.0,fuzzy split (first half)
Conservation,"The maintenance of roads, roadsides, avenues, waterways and parts of the landscape are included in the regular management and maintenance programmes of municipalities, water boards and management organisations such as the Forestry Commission, Flemish Land Agency, Kempens Landschap, the Foundation Society of Benevolence and the State of the Netherlands.",301.0,0.0,fuzzy split (second half)
Restoration,"Restoration various buildings Frederiksoord and surroundings, several millions of euros (largely completed. ",307.0,0.0,exact
Knowledge transfer,the Centre of Expertise for Nature and the Environment (Kenniscentrum voor Natuur en Leefomgeving) in the Netherlands focuses on development and sharing of knowledge,309.0,0.0,exact
Knowledge transfer,"In the field of the conservation of structures and objects, including green landscape elements, a great deal of knowledge is also available at the level of the site managers, within the provinces and in the various regional and management organisations ",309.0,0.0,fuzzy
Knowledge transfer,"Both in the Netherlands and in Flanders there are specialised training courses on the subjects of restoration and monument care, and also of landscape care, at colleges and universities.",312.0,0.0,exact
Knowledge transfer,Many professional organisations with a long track record in terms of management and maintenance are involved in managing the different attributes,312.0,0.0,exact
Climate change,Climate change could manifest itself in the area in the form of periods of raised water levels and dehydration,568.0,0.0,exact
Water management,the hydrological infrastructure and the instruments of the water board offer sufficient opportunities to deal with these effects in the area,569.0,0.0,exact
Climate change,recent summer periods in 2018 and 2019 led to significant water shortages in the substrate in Component part A (dehydration,569.0,0.0,exact
Water management,"rehabilitation of the Westerbeeksloot barge canal includes measures to improve the period of water retention in the barge canal, so as to increase resistance against dehydration for a longer period of time.",569.0,0.0,exact
Research,"It is intended to conduct further research, in collaboration with the Water Boards, into the possible effects of in particular dehydration on the OUV in the Dutch component parts.",570.0,0.0,exact
Water management,The rehabilitation of the Westerbeeksloot barge canal includes measures against dehydration by retention of water in the barge canal for a longer period of time,572.0,0.0,exact
Research,"It is intended to conduct further research, in collaboration with the Water Boards, into the possible effects of in particular dehydration on the OUV",570.0,0.0,exact
Water management,The water board takes measures against the risks of further dehydration of parts of Component A.,573.0,0.0,exact
Climate change,floods in the Netherlands and Belgium are considered to be the most important risk of climate change,687.0,0.0,exact
Climate change,both dehydration and waterlogging occur as a result of climate change,296.0,0.0,exact
Climate change,"due to low precipitation figures in 2018 and part of 2019, a water shortage has arisen in the soil with potential drying out effects in the area",688.0,0.0,exact
Water management,The water management in the area can be properly regulated via the available water sources and the control by the Flemish Land Agency,688.0,0.0,exact
Water management,The water management utilises the waterways which were constructed in the days of the establishment of the Colonies.,688.0,0.0,exact
Climate change,Another potential risk for particularly the greenery and the planting in the area is posed by the rise of the average temperature and shifts in the character of the seasons,688.0,0.0,exact
Climate change,this can lead to changes in species and vegetation,689.0,0.0,exact
Climate change,both dehydration and waterlogging occur as a result of climate change. ,296.0,0.0,exact
Water management,water management in the area can be properly regulated via the available water sources and the control by the water board,827.0,0.0,exact
Water management,The regulation of the water management in the area currently takes place through the hydrological infrastructure which had already been constructed in the days of the Society of Benevolence,828.0,0.0,exact
Climate change,changes in species and vegetation,295.0,0.0,exact
Monitoring,timely administrative identification of and reaction to threats and developments that might affect the OUV of the World Heritage site ,221.0,0.0,exact
Monitoring,timely administrative identification of and reaction to threats and developments that might affect the OUV of the World Heritage site,221.0,0.0,exact
Assessment,for example outcomes of Heritage Impact Assessments,913.0,1.0,exact
Conservation,"elements preserved aboveground have been integrated into later buildings, a process that has ensured their preservation down to the present day",926.0,1.0,exact
Legislation,All elements are well protected by the national and state heritage protection laws.,926.0,1.0,exact
Climate change,Global warming resulting from climate change may cause the water level of the Rhine to rise,946.0,1.0,exact
Climate change,increasing the risk of flooding of the nominated property in the future,946.0,1.0,exact
Water management,River erosion has been countered in previous centuries by the construction of dikes and river bank revetments. ,947.0,1.0,exact
Water management,these measures cannot provide full protection against flooding and erosion,947.0,1.0,exact
Climate change,"As with any lowland riverine landscape, the Rhineland is still exposed to flooding in extreme conditions",947.0,1.0,exact
Water management,Bursting of dikes and other bank reinforcements is more of a threat,948.0,1.0,exact
Preservation,"The Lower German frontier is internationally renowned for the excellent preservation of organic remains, a result of its position in a lowland riverine landscape",948.0,1.0,exact
Environmental variation,the dynamics of the river Rhine have also led to erosion in some areas. ,948.0,1.0,exact
Environmental variation,", the river has remained very active in the medieval and early modern periods. ",948.0,1.0,exact
Environmental variation,"Areas particularly affected by river migration are those (i) from Dormagen to Moers Asberg, (ii) near xanten-Fürstenberg and xanten-CUT, (iii) from Kleve-Keeken to Arnhem-Meinerswijk and (iv) approximately halfway between Arnhem-Meinerswijk and Bunnik-Vechten",949.0,1.0,fuzzy
Water management,"In the Netherlands the coastal dunes and primary dikes protect against water levels which may occur with probabilities varying from 1/300 to 1/10,000 per year",950.0,1.0,exact
Water management,"Component parts/ clusters located outside these risk areas (i.e. not exposed to flooding) are those in Voorburg-Arentsburg, Leiden Roomburg, Utrecht-Hoge Woerd, Utrecht-Domplein and Nijmegen and Berg en Dal",950.0,1.0,exact
Water management,The only component part not protected by the primary river dikes is Arnhem-Meinerswijk,950.0,1.0,exact
Monitoring,Permanent monitoring of the nominated property is essential for its preservation,957.0,1.0,exact
Monitoring,closely monitor the state of conservation as well as possible threats that could harm aspects of the Outstanding Universal Value,957.0,1.0,exact
Monitoring,"The monitoring provides input for the periodic reporting, which in principle takes place every six years",958.0,1.0,exact
Monitoring,The periodic monitoring questionnaires will be completed by the MG-LGL in cooperation with the site managers on the basis of the measures recorded in the above-mentioned databases. ,959.0,1.0,exact
Knowledge transfer,Researchers and governments work together on preservation and knowledge development,967.0,1.0,exact
Conservation,"Where needed for sustainable projection, extra protection measures for properties and buffer zones are devised and implemented",967.0,1.0,exact
Research,a joint research strategy will be developed to ensure better understanding of the Limes as a whole and of its protection,968.0,1.0,exact
Stakeholder collaboration,Partners will work on a joint communication strategy reflecting the transnational character of the Lower German Limes,968.0,1.0,exact
Coherence,A common interpretation framework and common standards to guide on-site presentation will be developed,968.0,1.0,exact
Coherence,"At FRE level there is alignment with regard to preservation, interpretation, research and public access",923.0,1.0,exact
Knowledge transfer,International exchange of knowledge between partners of the FRE will be facilitated and strengthened where needed,969.0,1.0,exact
Knowledge transfer,"Partners will explore opportunities to develop joint projects in the fields of preservation, research, public access and interpretation",969.0,1.0,exact
Monitoring,The partners will establish joint monitoring and evaluation standards,969.0,1.0,exact
Knowledge transfer,The Lower German Limes is used as an educational resource in primary and secondary education. ,923.0,1.0,exact
Knowledge transfer,More attention will be paid to the Dutch-German Limes in primary and secondary education,970.0,1.0,exact
Knowledge transfer,with a focus on greater awareness of the Lower-German Limes as a valuable historical structure linked to the core values of UNESCO. ,970.0,1.0,exact
Knowledge transfer,Frontiers of the Roman Empire – The Lower German Limes is a source of inspiration for the local environment/communities,924.0,1.0,exact
Knowledge transfer,The residents are proud of the presence of the historical frontier,971.0,1.0,exact
Stakeholder collaboration,ensuring that all stakeholders are aware of the importance of the Site and feel they can contribute effectively to its management,977.0,1.0,exact
Knowledge transfer,Key tasks will include sharing best practices,981.0,1.0,exact
Research,"This group will be responsible for developing a research strategy to better understand the Lower German Limes, identify gaps in existing knowledge, and identify potential research themes",981.0,1.0,exact
Research,The Research Strategy will be connected to the NOaA (National Research agenda on Archaeology) and other relevant archaeology research projects.,981.0,1.0,exact
Knowledge transfer,"Annual network meetings involving all partners provide opportunities for site visits, and learning and exchange of best practice",982.0,1.0,fuzzy
Conservation,"adequate protection by the state, provinces, municipalities and water boards",989.0,1.0,exact
Stakeholder collaboration,clear agreements about how to deal with unforeseen situations and risks (escalations),989.0,1.0,exact
Framework,"Protection of the buffer zones is regulated by the provincial Environmental Ordinances and the municipal land use plans (to be replaced by environment plans under the new Environment and Planning Act, as of 1-1-2021",991.0,1.0,exact
Legislation,"Multiple international conventions, regulations and charters that have been adopted by the Netherlands are relevant for the protection Lower German Limes",993.0,1.0,exact
Legislation,These regulations are integrated into Dutch national legislation and will be followed in managing the Frontiers of the Roman Empire – The Lower German Limes World Heritage site,993.0,1.0,exact
Legislation,"From January 2021 protection of the Lower German Limes will be effected through the Environment and Planning Act and its associated legal instruments, and through the Heritage Act that entered into force in 2016.",994.0,1.0,exact
Legislation,"The Environment and Planning Act is the national law that provides a legal framework for regulations relating to land-use planning, environmental protection, nature conservation, construction of buildings, protection of cultural heritage, water management, urban and rural redevelopment, development of major public and private works, mining and quarrying",997.0,1.0,exact
Legislation,"The Environment and Planning Act was adopted in 2016 and integrates numerous sectoral laws, including the Water Act and the Spatial Planning Act. ",997.0,1.0,exact
Framework,"A key instrument of the Environment and Planning Act is the National Environment Vision, which sets out national goals and ambitions, including goals relating to cultural heritage.",998.0,1.0,exact
Framework,the Living Environment Quality Decree [Besluit kwaliteit leefomgeving] and the Living Environment Activities Decree [Besluit activiteiten leefomgeving] provide regulations that safeguard the OUV on a national level. ,998.0,1.0,exact
Conservation,Protection of the existing landscape and heritage values is a predominant part of the ambition.,1001.0,1.0,exact
Framework,"the environmental vision plan is accompanied by an Environmental Ordinance, which takes into account the instructional regulations set out at national level",1001.0,1.0,exact
Framework,PROVINCE OF SOUTH HOLLAND: Environmental Vision [Omgevingsvisie Zuid-Holland] (2019),1004.0,1.0,exact
Framework,PROVINCE OF SOUTH HOLLAND: Environmental Ordinance [Omgevingsverordening Zuid-Holland] (2019) Of 2020,1004.0,1.0,exact
Framework,PROVINCE OF UTRECHT: Environmental Vision and Environmental Ordinance 2021,1004.0,1.0,exact
Framework,PROVINCE OF GELDERLAND:  Environmental Ordinance [Omgevingsverordening Gelderland] (2018) (2020),1004.0,1.0,exact
Water management,Water regulations ,1002.0,1.0,exact
Legislation,Water level maintenance is covered by the Water Act [Waterwet],1002.0,1.0,exact
Water management,"For those component parts where organic material is part of the Outstanding Universal Value, a sufficient groundwater level is essential to maintain the quality of the sites",1002.0,1.0,exact
Legislation,Under Article 5 of the Water Act regional water boards can issue a water level decision [peilbesluit].,1002.0,1.0,exact
Legislation,This is a legal document in which a water board lays down the water levels that it maintains within a certain area,1002.0,1.0,exact
Water management,"In managing the ground water level, water boards follow the functions as laid down in the environmental vision",1002.0,1.0,exact
Legislation,Municipalities are obliged to integrate archaeological policy into their land-use plans,1005.0,1.0,exact
Framework,"Under the new Environment and Planning Act, municipalities have to develop a self-binding environment vision and legally binding environment plan, which integrates spatial planning with sectoral regulations",1005.0,1.0,exact
Legislation,the new Environment and Planning act requires that a listed archaeological monument is integrated into these plans. ,1006.0,1.0,exact
Framework,This Interpretation Framework identifies several key interpretive themes for the history of the Roman presence along the Rhine ,1037.0,1.0,exact
Knowledge transfer,provides guidance on the presentation of these storylines through spatial planning and through displaying material culture associated with the Lower German Limes at visitor information points and museums,1038.0,1.0,exact
Knowledge transfer,"sets out guidelines to help local organisations present the frontier using a variety of interpretive media, supporting local partners in building or improving their presentation of the Lower German Limes",1038.0,1.0,exact
Heritage inclusion,The framework presents an overall the matic structure comprising eight diverse themes relevant to interpreting the values of the Lower German Limes,1038.0,1.0,exact
Conservation,The wooden gear is maintained in accordance with Eisinga’s 1784 instruction book,1189.0,2.0,exact
Conservation,authentic materials have been used and/or parts manufactured in accordance with the original version,1190.0,2.0,exact
Conservation,"But thanks to a very strict maintenance regime, almost all of the original parts have been preserved",1228.0,2.0,exact
Coherence,The integrity of the property is therefore 100%. ,1228.0,2.0,exact
Conservation,Eisinga’s handwritten maintenance instruction – which is to be found in the Franeker municipal archives and which has also been digitised – serving as a guideline,1235.0,2.0,exact
Coherence,authentic materials have been used and parts have been manufactured in accordance with the original version,1235.0,2.0,exact
Conservation,The continuity of maintenance is based on the handwritten maintenance instruction compiled by Eise Eisinga in 1784.,1237.0,2.0,exact
Legislation,"World Heritage occupies a special, state-controlled position in the Environment and Planning Act. ",1241.0,2.0,exact
Framework,The state provides mandatory instruction rules for provinces and municipalities in order to regulate matters in their environmental ordinance or environmental plan,1241.0,2.0,exact
Framework,. All the rules relating to the physical living environment are included in the environmental plan,1241.0,2.0,exact
Framework,"This concerns a balanced allocation of functions to locations (comparable to the current designations), as well as rules in respect of activities with consequences for the physical living environment. ",1241.0,2.0,exact
Legislation,"The care for the preservation of cultural heritage in the physical living environment and for world heritage will be transferred to the Environment and Planning Act, which is expected to enter into force on 1 July 2022",1242.0,2.0,exact
Legislation,"both the granting of permits for national monuments and the protection of protected cityscapes, townscapes and villagescapes will also be transferred to the Environment and Planning Act",1241.0,2.0,split (first half)
Legislation,"both the granting of permits for national monuments and the protection of protected cityscapes, townscapes and villagescapes will also be transferred to the Environment and Planning Act",1242.0,2.0,split (second half)
Framework,Municipalities must provide adequate protection in this respect in the (municipal) environmental plan,1242.0,2.0,exact
Legislation,Another important legal protection regime applies to the status of protected cityscape of the inner city of Franeker (now part of the municipality of Waadhoeke) since 1979. ,1242.0,2.0,exact
Framework,"mainly at the historical characteristics, the urban planning structure and the layout of the public space.",1243.0,2.0,exact
Conservation,"thanks to a very strict maintenance regime, almost all of the original parts have been preserved",1228.0,2.0,exact
Conservation,The consistent practice of management and maintenance over a period of almost 250 years has proven to be extremely sustainable,1254.0,2.0,exact
Conservation,"This was established mainly in order to safeguard continuity: not a foundation board, but the community, or the municipality, is the owner, to perpetuate the sustainability over the years",1255.0,2.0,exact
Framework,"The entire buffer zone falls within the boundaries of one zoning plan, namely the ‘Franeker – Inner City’ zoning plan dating from 2016",1243.0,2.0,exact
Framework,This zoning plan was adopted by the city council on 27 October 2016.,1265.0,2.0,exact
Assessment,spatial plans in the planning area are assessed and must meet criteria that guarantee the preservation of the historical characteristics,1265.0,2.0,exact
Framework,"the designation ‘Value – Protected Cityscape’, applies to the entire planning area. ",1265.0,2.0,exact
Legislation,"all the grounds in the city centre are intended for the preservation, restoration and expansion of the existing cultural heritage and spatial values referred to in the 1979 Designation Decree",1266.0,2.0,exact
Legislation,This Designation Decree forms an integral part of the zoning plan and is also summarised in the elaboration of the zoning plan,1266.0,2.0,exact
Legislation,"The designation ‘Value – Protected Cityscape’ also contains a legal translation of the intention of the Designation Decree for the protected cityscape,",1265.0,2.0,split (first half)
Legislation,"The designation ‘Value – Protected Cityscape’ also contains a legal translation of the intention of the Designation Decree for the protected cityscape,",1266.0,2.0,split (second half)
Framework,The zoning plan for the inner city provides an elaboration of the instruction in the Designation Decree to ensure appropriate protection of the protected cityscape,1267.0,2.0,exact
Legislation,The Environment and Planning Act is expected to enter into force as from 2022,1268.0,2.0,exact
Legislation,"Through this Act the government means to simplify, and where possible merge, rules for the physical living environment.",1268.0,2.0,exact
Framework,"By 2029 at the latest, every municipality must have an environmental plan that meets all the legal requirements of the Environment and Planning Act",1268.0,2.0,fuzzy
Framework,"Ultimately, the environmental plan must contain a so-called balanced allocation of functions",1270.0,2.0,exact
Heritage inclusion,The Environment and Planning Act requires that the municipality must take due account of the importance of the preservation of cultural heritage and the preservation of the Outstanding Universal Value of World Heritage,1270.0,2.0,fuzzy
Legislation,Article 2.28 of the Environment and Planning Act states that mandatory instruction rules apply to the environmental plan,1271.0,2.0,exact
Legislation,These instruction rules are included in articles 5.130 and 5.131 of the Decree on the quality of the living environment,1271.0,2.0,exact
Framework,"It is evident from the Building Aesthetics Policy Document that plans should not only be assessed as separate entities, but also in conjunction with the environment",1272.0,2.0,split (first half)
Framework,"It is evident from the Building Aesthetics Policy Document that plans should not only be assessed as separate entities, but also in conjunction with the environment",1273.0,2.0,split (second half)
Conservation,"In this way, the characteristic street and building image of the historic inner city is safeguarded",1273.0,2.0,exact
Conservation,"For the protected cityscape, this means that the preservation or the reinforcement of the unique character of the historic inner city will always primarily be the starting point",1273.0,2.0,exact
Framework,"It is worth mentioning that the Building Aesthetics Policy Document, too, will eventually become part of the environmental plan, obviously based on the framework of the Environment and Planning Act.",1274.0,2.0,exact
Conservation,The basis for this was laid in 1783 in a manual written by Eise Eisinga for his sons.,1279.0,2.0,exact
Knowledge transfer,"The knowledge gained during this work is passed on from one curator to the next, on the basis of Eise Eisinga’s original instructions and the (digital) documentation of knowledge and experience. ",1279.0,2.0,exact
Conservation,"After Eisinga’s death in 1828, curators have always been responsible for the conservation and the maintenance of the Planetarium",1279.0,2.0,exact
Conservation,Conservation and maintenance are aimed at preserving Eisinga’s original work.,1283.0,2.0,exact
Prohibition," negative influence or threats can never be ruled out completely, both in terms of property-related factors and environmental factors.",1288.0,2.0,exact
Climate change,Flooding as a result of a calamity ,1289.0,2.0,exact
Climate change,dykes breaching or flooding,1289.0,2.0,exact
Climate change,"the probability of this in Fryslân, based on the standard frequency in the Water Act, is on average once every 4,000-10,000 years",1289.0,2.0,exact
Climate change,Climate change resulting in sea level rise and an increase in the number of severe autumn storms,1289.0,2.0,exact
Soil subsidence,the soil is slowly descending,1291.0,2.0,exact
Soil subsidence,"this is the result of natural processes, such as the subsidence of the shallow subsoil",1291.0,2.0,exact
Soil subsidence,"Together, natural processes and human interventions cause this autonomous subsidence of the surface level",1292.0,2.0,exact
Soil subsidence,"In the north-west of Friesland, the autonomous subsidence varies on average from less than 1 millimetre to several millimetres per year",1292.0,2.0,exact
Climate change,"In the Netherlands, the chance of severe autumn storms (wind force 11 or more) is currently not very great yet (once every fifteen years), but could increase sharply due to global warming ",1297.0,2.0,exact
Climate change,One of the types of natural disaster is flooding,1298.0,2.0,exact
Climate change,"The risk of flooding and excess water will increase due to a number of causes, such as rising sea levels, soil subsidence and urbanisation",1298.0,2.0,exact
Legislation,there is a Delta Act that makes it mandatory to draw up a Delta programme that ensures that the Netherlands is well protected against flooding,1299.0,2.0,exact
Legislation,"The Water Act, in combination with provincial ordinances that describe the kind of safety the flood defences must provide.",1299.0,2.0,exact
Assessment,Implement protocol for undertaking annual assessments on the environmental circumstances and prospect of environmental issues,1368.0,2.0,exact
Assessment,Establish process for undertaking annual assessments on the environmental circumstances and prospect of environmental issues,1369.0,2.0,exact
Assessment,Protocol environment and property: Implement protocol for undertaking annual assessments of the environmental circumstances and prospect of environmental issues,1479.0,2.0,exact
Conservation,Make water elements in the landscape visible ,1759.0,3.0,exact
Knowledge transfer,show the role of water in history,1759.0,3.0,exact
Heritage inclusion,Protect the outstanding values of the heritage site and prevent any impairment of those values,1759.0,3.0,exact
Conservation,Make the forts and the New Dutch Waterline landscape increasingly self-sufficient ,1761.0,3.0,exact
Legislation,creating uniformity of protection in provincial by-laws on the environment (2018-2020). ,1762.0,3.0,exact
Coherence,creating one single joint quality handbook for the Dutch Water Defence Lines (2019). ,1762.0,3.0,exact
Coherence,arrive at one uniform model strategy for Supervision and Enforcement Policy for the whole site and its surrounding area (2019). ,1762.0,3.0,exact
Knowledge transfer,The strengthened combination of water retention and inundation fields presents the possibility of enabling people to experience the workings of the Water Management System and of linking it to the story of the Dutch Water Defence Lines,1981.0,3.0,exact
Water management,Strengthening dykes can impair structures such as sluices or break the connection with other elements. ,1982.0,3.0,exact
Management variation,The challenge is to strengthen this coherence and possibly even restore structures. ,1982.0,3.0,exact
Water management,The New Dutch Waterline is located in an area of varied water management,1987.0,3.0,exact
Water management,"water in the area requires more space for water retention and measures for flood protection, such as dyke reinforcement. ",1987.0,3.0,exact
Coherence,comprehensive water management mainly offers opportunities. ,1987.0,3.0,exact
Framework,"With ‘Room for the River’ (Ruimte voor de rivier), the Dutch government opted to ensure the required safety as far as possible by taking measures that stop the high water levels from continuing to rise.",1988.0,3.0,exact
Water management,with measures being taken both outside and inside the dykes.,1988.0,3.0,exact
Heritage inclusion,the heritage of the Dutch Water Defence Lines was also used to help achieve the twin goals.,1988.0,3.0,exact
Heritage inclusion,It was above all the established water and nature related tasks that were seen as an opportunity to make the rich history of the New Dutch Waterline clear and comprehensible. ,1989.0,3.0,exact
Stakeholder collaboration,Room for the River is implemented in intensive cooperation between the national government and regional governments. ,1989.0,3.0,exact
Water management,"The Delta Programme is the follow-up programme that anticipates climate change and the increased incidences of excess water that are to be expected. In this context, the northern side of the Lek Dyke will be tackled near Fort Honswijk.",1989.0,3.0,exact
Environmental variation,Measures aimed at limiting or countering the effects of climate change will bring about various changes in the living environment. ,1995.0,3.0,exact
Climate change,"The most radical are the changes to be expected in the levels and distribution of precipitation over the seasons, and their effects on water management ",1995.0,3.0,exact
Conservation,"particularly the major rivers, this means that dykes will need to be strengthened in some places. ",1995.0,3.0,exact
Water management,water retention locations are being sought for temporary water storage,1995.0,3.0,exact
Water management,"With the right designs, this spatial planning challenge could contribute to making the Dutch Water Defence Lines easier to understand and recognise, by converting former inundation fields into areas for water retention. ",1996.0,3.0,exact
Knowledge transfer,"the water retention site – and former inundation polder – of Blokhoven, where once every fortnight it is possible to experience how the water system of the New Dutch Waterline worked.",1996.0,3.0,exact
Conservation,"In 2018, preparations are being made to strengthen the dyke between Gorinchem and Waardenburg over a length of 23 kilometres.",1996.0,3.0,exact
Heritage inclusion,"the Outstanding Universal Value is considered in the design phase of the dyke-strengthening, for example around the Honswijk-Everdingen fort complexes.",1996.0,3.0,exact
Conservation,"Cultivating biomass does preserve the green character of the land, but a careful consideration of the type of biomass (choice of crop) and its location continues to be of great importance",2000.0,3.0,exact
Adaptation,"There are of course opportunities for strengthening these features, for example through rewetting, combined with biomass in the form of reed beds in the inundation fields. ",2000.0,3.0,exact
Climate change,storms and hail can cause damage to crops and buildings. ,2001.0,3.0,exact
Water management,"Due to the robust nature of the military fortifications, the water systems and the inundation basins, the impact of such weather events can be considered to be negligible.",2002.0,3.0,exact
Climate change,"Climate change increases the chance of extreme flooding, but also of drought.",2002.0,3.0,exact
Water management,"The Defence Line of Amsterdam and its surrounding area have great resilience in anticipating and dealing with such conditions, specifically because of the ingenious water system",2002.0,3.0,exact
Restoration,"challenge presented by water is properly managed through the water authorities and damage due to climate, the environment or a disaster will be repaired where necessary and where possible. ",2002.0,3.0,exact
Adaptation,Water authorities are actively exploring the possibilities of using the Dutch Water Defence Lines to anticipate climate adaptation. ,2002.0,3.0,exact
Human activities,• Invasive Alien Species ,1629.0,3.0,exact
Framework,"the purpose of the SIMP, as agreed by the TWSC and stated in Annex 1 of the Leeuwarden Declaration (2018), is to further facilitate the continuous improvement of management for the protection and maintenance of the Outstanding Universal Value ",2061.0,4.0,exact
Multi-level management,"1. providing a clear overarching description of the managment system at the regional, national, and trilateral level; ",2061.0,4.0,fuzzy
Heritage inclusion,addressing key topics presenting specific current and potential impacts to the Outstanding Universal Value which have been prioritised as pending management tasks,2061.0,4.0,exact
Heritage inclusion,present existing joint management activities across the property and showcase gaps which need enhanced joint efforts to maintain or enhance the area’s Outstanding Universal Value,2062.0,4.0,exact
Framework,"The SIMP for the Wadden Sea is a political agreement of the Trilateral Wadden Sea Cooperation (TWSC), meaning it is a legally non-binding document of common political interest",2062.0,4.0,exact
Legislation,"Existing policy documents and legally binding instruments at the trilateral, regional, national, and local level are not altered or affected by the SIMP",2042.0,4.0,exact
Multi-level management,The SIMP does not change either the content or the function of existing national or trilateral plans; ,2062.0,4.0,exact
Framework,it is complementary to the Wadden Sea Plan 2010 ,2062.0,4.0,exact
Multi-level management,The SIMP acts as an umbrella for existing plans and policies and provides information on how these are implemented trilaterally for nature conservation management,2063.0,4.0,exact
Heritage inclusion,The focus of the SIMP is the Wadden Sea World Heritage Site and the conservation of its Outstanding Universal Value ,2063.0,4.0,exact
Multi-level management,"The SIMP presents (Fig. 2) a clear overview of the nature conservation management structures in Denmark, Germany, and the Netherlands and at the trilateral level, describes how the work is done together",2063.0,4.0,exact
Coherence,"In the process of developing the SIMP (Fig. 3), five aspects have been prioritised as key topics for joint management.",2064.0,4.0,exact
Framework,The SIMP key topics are related to human activities relying on ecosystem services and taking place inside of and adjacent to the World Heritage property.,2064.0,4.0,exact
